col,VAR
865,PROV_SPCLTY_CD_514
866,PROV_SPCLTY_CD_525
867,PROV_SPCLTY_CD_526
868,PROV_SPCLTY_CD_530
869,PROV_SPCLTY_CD_537
870,PROV_SPCLTY_CD_538
871,PROV_SPCLTY_CD_539
872,PROV_SPCLTY_CD_550
873,PROV_SPCLTY_CD_575
874,PROV_SPCLTY_CD_650
875,PROV_SPCLTY_CD_654
876,PROV_SPCLTY_CD_675
877,PROV_SPCLTY_CD_676
878,PROV_SPCLTY_CD_677
879,PROV_SPCLTY_CD_679
880,PROV_SPCLTY_CD_690
881,PROV_SPCLTY_CD_700
882,PROV_SPCLTY_CD_703
883,PROV_SPCLTY_CD_704
884,PROV_SPCLTY_CD_750
885,PROV_SPCLTY_CD_775
886,PROV_SPCLTY_CD_800
887,PROV_SPCLTY_CD_804
888,PROV_SPCLTY_CD_806
889,PROV_SPCLTY_CD_811
890,PROV_SPCLTY_CD_821
891,PROV_SPCLTY_CD_878
892,PROV_SPCLTY_CD_900
893,PROV_SPCLTY_CD_902
894,PROV_SPCLTY_CD_903
895,PROV_SPCLTY_CD_928
896,PROV_SPCLTY_CD_D02
897,PROV_SPCLTY_CD_D06
898,PROV_SPCLTY_CD_DC1
899,PROV_SPCLTY_CD_E01
900,PROV_SPCLTY_CD_H03
901,PROV_SPCLTY_CD_H04
902,PROV_SPCLTY_CD_H09
903,PROV_SPCLTY_CD_L02
904,PROV_SPCLTY_CD_L04
905,PROV_SPCLTY_CD_L05
906,PROV_SPCLTY_CD_M10
907,PROV_SPCLTY_CD_N04
908,PROV_SPCLTY_CD_N18
909,PROV_SPCLTY_CD_P01
910,PROV_SPCLTY_CD_P02
911,PROV_SPCLTY_CD_P03
912,PROV_SPCLTY_CD_P06
913,PROV_SPCLTY_CD_P08
914,PROV_SPCLTY_CD_T01
915,PROV_SPCLTY_CD_T02
916,PROV_SPCLTY_CD_T03
917,PROV_SPCLTY_CD_T04
918,PROV_SPCLTY_CD_T06
919,PROV_SPCLTY_CD_T07
920,PROV_SPCLTY_CD_V01
921,PROV_SPCLTY_CD_V04
922,PROV_SPCLTY_CD_V07
923,PROV_SPCLTY_CD_V13
924,PROV_SPCLTY_CD_Z03
925,HCFA_PT_CD_11
926,HCFA_PT_CD_12
927,HCFA_PT_CD_13
928,HCFA_PT_CD_17
929,HCFA_PT_CD_20
930,HCFA_PT_CD_21
931,HCFA_PT_CD_22
932,HCFA_PT_CD_23
933,HCFA_PT_CD_24
934,HCFA_PT_CD_41
935,HCFA_PT_CD_50
936,HCFA_PT_CD_53
937,HCFA_PT_CD_81
938,MBR_CNTRCT_CD_0002
939,MBR_CNTRCT_CD_00Y3
940,MBR_CNTRCT_CD_00Y4
941,MBR_CNTRCT_CD_02QR
942,MBR_CNTRCT_CD_05WW
943,MBR_CNTRCT_CD_08ZN
944,MBR_CNTRCT_CD_08ZP
945,MBR_CNTRCT_CD_092Z
946,MBR_CNTRCT_CD_09NN
947,MBR_CNTRCT_CD_0AQ5
948,MBR_CNTRCT_CD_0BSG
949,MBR_CNTRCT_CD_0DA5
950,MBR_CNTRCT_CD_0DNM
951,MBR_CNTRCT_CD_0FKW
952,MBR_CNTRCT_CD_0G6W
953,MBR_CNTRCT_CD_0JKF
954,MBR_CNTRCT_CD_0JMT
955,MBR_CNTRCT_CD_0JT4
956,MBR_CNTRCT_CD_0K3W
957,MBR_CNTRCT_CD_0K43
958,MBR_CNTRCT_CD_0MME
959,MBR_CNTRCT_CD_0QAB
960,MBR_CNTRCT_CD_0QAC
961,MBR_CNTRCT_CD_0QAD
962,MBR_CNTRCT_CD_0QAE
963,MBR_CNTRCT_CD_0U9X
964,MBR_CNTRCT_CD_0UVK
965,MBR_CNTRCT_CD_1393
966,MBR_CNTRCT_CD_1518
