FULL_MNGMNT_BU_CD,MBU_rollup,state_lob
J2ZZ1N1XOF02S,Unicare - Unicare,Unicare
J2ZZ1N1XOF02Y,Unicare - Unicare,Unicare
J2ZZ1N1XOF03S,Unicare - Unicare,Unicare
J2ZZ1N1XOF03Y,Unicare - Unicare,Unicare
J2ZZ1N1XPB01S,Unicare - Unicare,Unicare
J2ZZ1N1XPB01Y,Unicare - Unicare,Unicare
J2ZZ1N1XPB02S,Unicare - Unicare,Unicare
J2ZZ1N1XPB02Y,Unicare - Unicare,Unicare
J2ZZ1N1XPBN,Unicare - Unicare,Unicare
J2ZZ1N1XPBY,Unicare - Unicare,Unicare
J2ZZ1NZXOF02N,Unicare - Unicare,Unicare
J2ZZ1NZXOF02S,Unicare - Unicare,Unicare
J2ZZ1NZXOF02Y,Unicare - Unicare,Unicare
J2ZZ1NZXOF03S,Unicare - Unicare,Unicare
J2ZZ1NZXOF03Y,Unicare - Unicare,Unicare
J2ZZ1NZXPB01S,Unicare - Unicare,Unicare
J2ZZ1NZXPB01Y,Unicare - Unicare,Unicare
J2ZZ1NZXPB02S,Unicare - Unicare,Unicare
J2ZZ1NZXPB02Y,Unicare - Unicare,Unicare
J2ZZ1NZXPBN,Unicare - Unicare,Unicare
J2ZZ1NZXPBY,Unicare - Unicare,Unicare
J2ZZ1O1XOF03S,Unicare - Unicare,Unicare
J2ZZ1O1XOF03Y,Unicare - Unicare,Unicare
J2ZZ1O1XPB04N,Unicare - Unicare,Unicare
J2ZZ1O1XPBN,Unicare - Unicare,Unicare
J2ZZ1O1XPBY,Unicare - Unicare,Unicare
J2ZZ1O1XPR01S,Unicare - Unicare,Unicare
J2ZZ1O1XPR01Y,Unicare - Unicare,Unicare
J2ZZ1O1XPR05N,Unicare - Unicare,Unicare
J2ZZ1O1XPR05S,Unicare - Unicare,Unicare
J2ZZ1O1XPR05Y,Unicare - Unicare,Unicare
J2ZZ1O3XOF04M,Unicare - Unicare,Unicare
J2ZZ1O3XPB03S,Unicare - Unicare,Unicare
J2ZZ1O3XPB03Y,Unicare - Unicare,Unicare
J2ZZ1O3XPB04S,Unicare - Unicare,Unicare
J2ZZ1O3XPB04Y,Unicare - Unicare,Unicare
J2ZZ1O4XOF04S,Unicare - Unicare,Unicare
J2ZZ1O4XOF04Y,Unicare - Unicare,Unicare
J2ZZ1O4XOF05N,Unicare - Unicare,Unicare
J2ZZ1O4XPB05N,Unicare - Unicare,Unicare
J2ZZ1O7XOF04M,Unicare - Unicare,Unicare
J2ZZ1O7XPB03S,Unicare - Unicare,Unicare
J2ZZ1O7XPB03Y,Unicare - Unicare,Unicare
J2ZZ1O7XPB04S,Unicare - Unicare,Unicare
J2ZZ1O7XPB04Y,Unicare - Unicare,Unicare
J2ZZ1OMXPBN,Unicare - Unicare,Unicare
J2ZZ1OMXPBY,Unicare - Unicare,Unicare
J2ZZ1S3XPBN,Unicare - Unicare,Unicare
J2ZZ1S3XPBY,Unicare - Unicare,Unicare
J2ZZ1UZX,Unicare - Unicare,Unicare
J2ZZ1UZXOF,Unicare - Unicare,Unicare
J2ZZ1UZXOF01M,Unicare - Unicare,Unicare
J2ZZ1UZXOF01N,Unicare - Unicare,Unicare
J2ZZ1UZXOF01S,Unicare - Unicare,Unicare
J2ZZ1UZXOF01Y,Unicare - Unicare,Unicare
J2ZZ1UZXOF02M,Unicare - Unicare,Unicare
J2ZZ1UZXOF02N,Unicare - Unicare,Unicare
J2ZZ1UZXOF02S,Unicare - Unicare,Unicare
J2ZZ1UZXOF02Y,Unicare - Unicare,Unicare
J2ZZ1UZXOF03K,Unicare - Unicare,Unicare
J2ZZ1UZXOF03M,Unicare - Unicare,Unicare
J2ZZ1UZXOF03N,Unicare - Unicare,Unicare
J2ZZ1UZXOF03S,Unicare - Unicare,Unicare
J2ZZ1UZXOF03Y,Unicare - Unicare,Unicare
J2ZZ1UZXOF04M,Unicare - Unicare,Unicare
J2ZZ1UZXOF04N,Unicare - Unicare,Unicare
