KEY_CHK_DCN_NBR,CURNT_QUE_UNIT_NBR,DTL_LINE_NBR,Result,Model_Score
19120BD2874,ST,01,0259840248,0.077748135
19120BE1841,1#,01,0250493090,4.3496025e-06
19120BE1841,1#,02,0238878682,6.4333603e-06
19120BE1844,1#,01,0250493090,2.8499708e-06
19120BI5669,ST,01,3454188,0.06477946
19120BI5669,ST,02,3553879,0.00278481
19120BT2509,1#,01,0259842896,0.044283565
19120CB4809,1#,01,0258901777,0.022093816
19120CB4809,1#,02,0258901777,0.03590434
19120CB4809,1#,03,0258901777,0.050733063
19120CB4809,1#,04,0258901777,0.03590434
19120CB4809,1#,05,0258901777,0.02497694
19120CO8576,ST,01,4204015,0.4225776
19120CO8576,ST,02,4204015,0.29573387
19120CO8576,ST,03,4204015,0.24835278
19120CO9023,ST,01,0258575034,0.048674308
19120CO9023,ST,02,0258575034,0.048674308
19120CO9023,ST,03,0258575034,0.048674308
19120CO9023,ST,04,0258915678,0.03258422
19120CO9023,ST,05,0257257697,0.015349875
19120CO9023,ST,06,0258915678,0.03258422
19120CO9023,ST,07,0258915678,0.03258422
19120CO9023,ST,08,0257257697,0.015349875
19120CO9023,ST,09,0258915678,0.03258422
19120CO9023,ST,10,0257257697,0.015349875
19120CO9023,ST,11,0257257697,0.0061852476
19120CO9023,ST,12,0258915678,0.03258422
19120CO9023,ST,13,0257257697,0.0042838166
19120CO9023,ST,14,0258915678,0.03258422
19120CO9023,ST,15,0257257697,0.015349875
19120CO9023,ST,16,0258915678,0.03258422
19120CO9023,ST,17,0257257697,0.015349875
19120CO9023,ST,18,0258915678,0.03258422
19120CO9023,ST,19,0258915678,0.03258422
19120CO9023,ST,20,0255343939,0.041446954
19120CO9023,ST,21,0258915678,0.03258422
19120CO9023,ST,22,0257257697,0.0061852476
19120CO9023,ST,23,0257257697,0.0042838166
19120CO9023,ST,24,0257257697,0.0042838166
19120CO9023,ST,25,0257257697,0.015349875
19120CO9023,ST,26,0257257697,0.015349875
19120CO9023,ST,27,0257257697,0.0042838166
19120CO9023,ST,28,0257257697,0.015349875
19120CO9023,ST,29,0257257697,0.00954348
19120CO9023,ST,30,0258915678,0.03258422
19120CO9023,ST,31,0257257697,0.0061852476
19120CO9023,ST,32,0257257697,0.0061852476
19120CO9023,ST,33,0257257697,0.015349875
19120CO9023,ST,34,0257257697,0.015349875
19120CO9023,ST,35,0254684897,0.005522533
19120CP0422,ST,01,0259662677,0.0015363927
19120CP0422,ST,02,0253418845,0.0051162094
19120CP0422,ST,03,0259662677,0.0015363927
19120CP0422,ST,04,0259662677,0.0015363927
19120CP0422,ST,05,0259662677,0.0015363927
19120CP0422,ST,06,0253418845,0.0024491234
19120CY2920,ST,01,4251609,0.7223799
19120CY2922,ST,01,4251609,0.6972502
19120CZ9558,ST,01,0258588192,0.012939406
19120CZ9558,ST,02,4008407,0.008803849
19120DA4863,1#,01,0263404752,0.56117576
19120DB2165,ST,01,4351799,0.02582907
19120MA9717,1#,01,0261828799,0.01864743
19120MA9811,ST,01,0257655655,0.0025447698
19120MA9811,ST,02,0257655655,0.038503025
19120ME1702,1#,01,0263406443,0.4674256
19120ME1702,1#,02,0263406443,0.4674256
19120ME1702,1#,03,0263406443,0.4674256
19121BE4438,1#,01,0260791336,0.07988286
19121BE4438,1#,02,0260791336,0.04865633
19121BE4438,1#,03,0260791336,0.04865633
19121BE4438,1#,04,0260791336,0.04865633
19121BE4438,1#,05,0260791336,0.05626294
19121BE4438,1#,06,0260791336,0.05626294
19121BE4438,1#,07,0260791336,0.04865633
19121BE4556,1#,01,3727729,0.6667972
19121BY9763,ST,01,4458352,0.015405011
19121BY9763,ST,02,4458352,0.015405011
19121BY9763,ST,03,4458352,0.015405011
19121BY9763,ST,04,4458352,0.015405011
19121BY9763,ST,05,4458352,0.015405011
19121BY9763,ST,06,4458352,0.015405011
19121CN1324,ST,01,4396034,0.80333143
19121CN1324,ST,02,4396034,0.80333143
19121CN1324,ST,03,4396034,0.80333143
19121CN1324,ST,04,4396034,0.80333143
19121CW1470,ST,01,0263058439,0.059859816
19121DJ1821,1#,01,3975074,0.44900218
19121DJ1821,1#,02,3975074,0.07215384
19121DJ1821,1#,03,3975074,0.07215384
19121DJ2443,ST,01,0262232543,0.0011253469
19121DJ2443,ST,02,0262232543,0.008483001
19121DK7317,ST,01,0256142375,7.153632e-05
19121DK7317,ST,02,0256142375,7.153632e-05
19121DK7317,ST,03,0256142375,7.153632e-05
19121DK7317,ST,04,0256142375,7.153632e-05
19121DK7317,ST,05,0256142375,7.153632e-05
19121DK7317,ST,06,0256142375,7.153632e-05
19121DK7317,ST,07,0256142375,7.153632e-05
19121DK7317,ST,08,0256142375,7.153632e-05
19121DK7317,ST,09,0256142375,7.153632e-05
19121DK7317,ST,10,0256142375,7.153632e-05
19121DK7317,ST,11,0256142375,7.153632e-05
19121DK7317,ST,12,0256142375,7.153632e-05
19121DK7317,ST,13,0256142375,7.153632e-05
19121DK7317,ST,14,0256142375,7.153632e-05
19121DK7317,ST,15,0256142375,7.153632e-05
19121DK7317,ST,16,0256142375,7.153632e-05
19121DK7317,ST,17,0256142375,7.153632e-05
19121DK7317,ST,18,0256142375,7.153632e-05
19121DK7317,ST,19,0256142375,7.153632e-05
19121DK7317,ST,20,0256142375,7.153632e-05
19121DK7317,ST,21,0256142375,7.153632e-05
19121DK7317,ST,22,0256142375,7.153632e-05
19121DK7317,ST,23,0256142375,7.153632e-05
19121DK7317,ST,24,0256142375,7.153632e-05
19121DK7317,ST,25,0256142375,7.153632e-05
19121DK7317,ST,26,0256142375,7.153632e-05
19121DK7317,ST,27,0256142375,7.153632e-05
19121DK7317,ST,28,0256142375,7.153632e-05
19121DK7317,ST,29,0256142375,7.153632e-05
19121DK7317,ST,30,0256142375,7.153632e-05
19121DK7317,ST,31,0256142375,7.153632e-05
19121DK7317,ST,32,0256142375,7.153632e-05
19121DK7317,ST,33,0256142375,7.153632e-05
19121DK7317,ST,34,0256142375,7.153632e-05
19121DK7317,ST,35,0256142375,7.153632e-05
19121DK7317,ST,36,0256142375,7.153632e-05
19121DK7317,ST,37,0256142375,7.153632e-05
19121DK7317,ST,38,0256142375,7.153632e-05
19121DK7317,ST,39,0256142375,7.153632e-05
19121DK7317,ST,40,0256142375,7.153632e-05
19121DK7317,ST,41,0256142375,7.153632e-05
19121DK7317,ST,42,0256142375,7.153632e-05
19121DK7317,ST,43,0256142375,7.153632e-05
19121DK7317,ST,44,0256142375,7.153632e-05
19121DK7317,ST,45,0256142375,7.153632e-05
19121DK7317,ST,46,0256142375,7.153632e-05
19121DK7317,ST,47,0256142375,7.153632e-05
19121DK7317,ST,48,0256142375,7.153632e-05
19121DK7317,ST,49,0256142375,7.153632e-05
19121DK7317,ST,50,0256142375,7.153632e-05
19121H20454,1#,01,0234477694,1.2078138e-05
19121LM0620,ST,01,3519694,0.018555867
19121ME3336,ST,01,3379568,0.0022152807
19121ME3336,ST,02,3379568,0.38618436
19121ME3336,ST,03,3379568,0.10069334
19121ME3336,ST,04,3379568,0.08119535
19121ME3336,ST,05,3379568,0.06612054
19121ME3336,ST,06,3379568,0.08827346
19121ME3336,ST,07,3379568,0.06612054
